filename,d(vresi),t(vresi),d(vmesi),t(vmesi),d(vreis),t(vreis),d(vmeis),t(vmeis),d(presi),t(presi),d(pmesi),t(pmesi),d(preis),t(preis),d(pmeis),t(pmeis)
wt_100_078.txt,(0),62.90,(0),5.11,(0),41.16,(0),5.03,(0),65.59,(0),5.09,(0),57.38,(0),5.10
wt_100_079.txt,(0),44.20,(0),4.83,(0),57.86,(0),5.13,(0),66.25,(0),4.82,(0),67.17,(0),5.07
wt_100_080.txt,(0),44.72,(0),5.03,(0),37.48,(0),5.11,(0),55.54,(0),5.08,(0),58.59,(0),5.13
wt_100_081.txt,91.57,204.25,7.00,18.69,55.50,146.13,7.00,19.75,93.79,267.67,7.00,27.60,31.50,190.77,7.00,27.82
wt_100_082.txt,163.41,177.19,0.00,14.24,163.41,113.63,0.00,10.60,123.03,207.28,0.00,18.51,22.71,241.34,0.00,21.44
wt_100_083.txt,113.35,170.95,0.00,18.57,113.35,97.48,1.83,15.05,247.47,195.21,0.00,27.65,117.89,195.96,1.83,21.29
wt_100_084.txt,147.79,107.71,0.00,5.10,0.00,66.41,0.00,5.09,0.00,158.45,0.00,5.04,147.79,195.37,0.00,5.01
wt_100_085.txt,292.25,221.14,0.00,5.11,114.79,119.92,0.00,5.18,117.61,252.95,0.00,5.07,142.25,261.57,0.00,5.07
wt_100_086.txt,3.97,200.24,3.45,129.18,7.26,139.23,7.23,86.61,3.26,458.95,3.38,270.99,8.21,325.39,2.96,264.68
wt_100_087.txt,0.84,239.92,0.27,126.37,1.80,160.37,1.20,146.53,0.82,634.46,0.43,320.06,1.02,424.53,0.24,369.43
wt_100_088.txt,1.17,268.70,2.85,119.06,4.89,191.63,3.38,117.06,2.61,542.74,0.67,370.31,1.61,375.85,1.86,306.07
wt_100_089.txt,3.18,171.35,3.79,122.66,12.19,160.81,7.69,118.10,2.55,389.33,5.77,316.07,3.52,290.66,4.62,253.75
wt_100_090.txt,1.17,210.26,1.50,111.32,2.90,195.14,1.33,111.52,4.75,582.09,1.77,270.45,1.91,472.88,1.49,288.90
wt_100_091.txt,0.30,250.49,1.30,150.05,0.22,141.59,0.88,152.55,0.11,565.13,1.20,475.98,0.19,417.86,1.17,494.84
wt_100_092.txt,0.05,223.53,0.25,135.19,0.28,132.45,0.53,141.59,0.04,548.63,0.57,394.21,0.03,358.02,0.50,423.42
wt_100_093.txt,0.25,203.96,0.62,165.74,0.46,154.45,0.89,138.79,0.11,569.79,0.90,600.91,0.03,429.08,0.93,537.03
wt_100_094.txt,0.44,228.85,0.53,127.78,0.32,123.12,0.46,152.88,0.52,541.42,0.87,361.11,0.39,333.10,0.82,390.01
wt_100_095.txt,0.35,227.64,0.89,173.37,0.41,152.00,0.83,119.13,0.03,520.75,1.00,583.72,0.00,407.04,0.87,547.88
wt_100_096.txt,0.11,175.32,0.26,138.03,0.04,99.37,0.23,98.78,0.03,599.71,0.18,605.96,0.05,377.53,0.40,418.28
wt_100_097.txt,0.00,220.26,0.11,142.83,0.02,106.32,0.13,91.12,0.01,605.20,0.08,525.05,0.01,245.52,0.13,383.12
